Wallet address,total nfts,nfts in wallet for 10 days
erd18u5q68usq0zfp9x0wnf9x09muydtvd509dpcxw5ptvk4ka7a326qnwhtyp,1,0
erd1la6r0xgzmvpjgstg4t0780yyg3304l5gaf58emdeer4ecfayt0fql6587k,1,0
erd1ly2ztms3f0dr90z32cwzzhxgdfzjg9k5g3m3yzt4mvmt6aegxrdsa7rru3,1,0
erd1dyunalwaquqr7pzewfwy43ycght4s67x6n6k9kt5fzsl80fn5a2qx7ws63,1,0
erd1vyts9yz6tgrs8htn4fs48cdla57lwfuraj454xkmc6yu0c4x6yss88n3tl,1,0
erd1yxts4a9ck72kpnw9969p2vuvvzqczatrkzrp2ryrr3jydheaycps5z2jsg,1,0
erd1ve7lemy2mcldv84r6wng8umrkq5mw5twzc4r58qsfrn5v2hgny5s3nzpmc,1,0
erd10ur7jvm369nrwdlqrufleu4z6k2u2vj07tg0dw6gsf76tpzjlqwsslypzr,1,0
erd1qwxacqlytzrq9y86ancflg82wgcqdtvnqqflfad40v4mkjhz4s2qx7lnjn,1,0
erd1fefvg0jeqpn5xdm4ersdxh9fqc7vzgjytda38tqyu5krs3uv3l3q74lswx,1,0
erd15ld4z9armk2pq7y9x65y60klpstur34rl38kfdmdz2s643e9k49sfpzugd,1,0
erd1allqvsjw0k2fvnx47sntmknkea7r4uutu4yqae7vjzaj0henn6kscdls9e,1,0
erd1cyscet6gtmv7ufsumgs6ua73lwcsvpnqyphp6025htm6le4t26dqmwwphe,1,0
erd1jge2r79mtazyp5vuu8xqyr7k8u8r4mm3v3rv9947ekytc08rkzesjsk2h9,1,0
erd1wpcpl0dfqync8n7pvx7ua3uvh7y6hr93awarxwmvw5vq5hsnasssc6al83,1,0
erd1wpayuskf3v5ktpwfh2nwzs9vzy2rgwa0d7gr7mrtgtl2gxcmvlwq5nwwkz,1,0
erd1dtcf5xnas69vv9udp7lxnkwxs6la2k4a6pfxn5xlvwtlcdpdzymqj54f4n,1,0
erd1hw7g9hp7nhwxgq0xv4zg5qm4partgvj3zja4xx27zvndk50ffmjq8p27fc,1,0
erd1jstu6smj8ka7mk0e3qmlcxh6pxtasjxy4ksfes43t8yy9zhspwequyxw6r,1,0
erd1793cv85hsjn8xs9y6qcgqlx98q3s0gx3gwufpgstv9k06l73m3wqdh9jvd,1,0
erd1e004fgd6uanv6h7zt4ma7d80vgwkw929zsqsxjqu8h9qtyqplrpsjc09ha,1,0
erd12rajusd5amuea8pepulgdzxrzva2z0gtrswtmrn3cjagqn63hewsytxcy2,1,0
erd1jsj9zp23x6nym5ahm4hg6qs88rgeksqfuleayjjr9cg4u2jtrtas32j449,1,0
erd1txprreyduvczs2r37q0lfk30ujum6z7klcdh56cplk3aqyr4qmkspxz2qa,1,0
erd1p2wk8qm24d43gu27v662efs97rp62p24r8jryyexejdstp0fpe6qut5uh2,1,0
erd10d6wejvyxgretmxgjqa225xez475t4na79c7dxyesyq23dhvxqdsrcusdg,1,0
erd17fzy3660z9qxtjltel3ujqcw7whcm58s72h72m86yv65l5u5vghspkznvn,1,0
erd1e7dn3a0lhgmm7877ds0qpdtxgrrar8ttcp2vhzz8ux4h2az5nsmqdxx30x,1,0
erd10j36y7sj0enl5mynss2eu334vr5hxsmtr60lrt99zqckzq0kjagq873qhn,1,0
erd184hecgaxyp00c2r2pfhdvaewtg2ds0fgz68t3zu045ug7d85ka6s9mazjm,1,0
erd1qlpvlv452j0utw23jpfg3mh3dqutvccp5tpxnvxmylvn2x0vawzq3jnf6w,1,0
erd1tsx3z7u3sdf54srmh3x4n38jcjyh5ad6gu6u262g8rfnf8y6gfds0aw9tu,1,0
erd1vzh64fvgtl6ung23ltmngt6ygs7g2sfvea0spt6845nzlg3prmnsxke56j,1,0
erd1y7j3ckltxqfqklcyhvx47gjnzwnaqsupvf84pr70d5xt49m0chnqcl3cty,1,0
erd16tk3ytac8whu3gzeg5ys8972yzsdyswd8gj46shme06vw0xqjxkq5skuch,1,0
erd1k0yxmkrs6x9urk27nljvag3mttfds59p7l37ua7lpf753v59m5wsq2855f,1,0
erd17llhqn8pkrgfcff6rtp2sp4z7r3haw2jr92qhgmtelyz7d2yv93qzamlt2,1,0
erd108ngcl8ph34duz347cds3a26lypxme8a8p9xen5dfms4djqjrcxsy9y5rd,1,0
erd1937jxutjfvykuy360my50lqvhuslru5l6crvcvpcyx93mcy05gyqfnk4hu,1,0
erd1qfdz894qnp9g08zheklmeedacmg74lp2s4ajye9q2ypxz2uuxx2quyw7j2,1,0
erd1wcwuhqcg2pn4n6tderd9wp3946npvcyrp4utv5aktsf9v8vtv7sq3fk2xf,1,0
erd1uqfrre8j8tlgnzjzkgyzty8hgwlh48pesvrn5q6p9emlh9p9zlgq4re67d,1,0
erd1jjky8zvs4v7323wxc0dukp7rc7vz0ycr0lfa04sl2flgdd4e3nrsj0wlve,1,0
erd1a9csye0xnmcg2m33s8d6vxm6y9yeaz8w86c8xn8scmlgu3ec6r8shuslql,1,0
erd1d2ky9zw6ckjlxs7utynnxlrwrqu9a40tjlhaexpaqcgghk3y9cgsfa5ce0,1,0
erd1gaj9frrp773zarqeyvetk2wgjqywas40qkmavk93whrrvuf4cgksel40re,1,0
erd16rln4hmsh98mwchr09pn6axcn4uqdjqhnlkdr87adydxg9tc20aq20rsj3,1,0
erd16uvz0wga9fc8jhy7y9cw5gzk9sjgdq7n4hkezcd2g5w9gh6gplwqgevw3y,1,0
erd1ntev2zzsz2vlk5dhajgrm2ge3zac6rqvtslplczmwva8n95hffcq62lldv,1,0
erd1y2xep03xyjqruygq7fr3vfm2jpx9cg2w9zfjdx7fsr5fnpt0zekqu6f7z9,1,0
erd1k6lvjlrzszkzckksahstqph6a3j096tfz7g4wr8786vhpeh2ngdqcut5c3,1,0
erd1gnrvkvqrl43z87yhuca0tetf9aa7eenn0xqqzt4lr9zt63v9l8eqx4h9pp,1,0
erd1ncfucphf2wrzspntv9enld5rxgnn6ter843x7h67fvsj7tez0qkq3kk8f3,1,0
erd1q3teyfyd257n3wg3784z77t0300g7nl7a2zpv2vjrvdw7c2x8u3qpk6yp5,1,0
erd1lpdy7wy2zq0t524kj7chvp5c5v3s0nk8c7hem9rhmm4glus9lk0qnqar8q,1,0
erd17l5xutjhlejmrf67fpkwcmj52rn8a8xkwn8njh7lr35a59mxt4dqzueu2h,1,0
erd1n62tskaf4pfj03wupukj740uktkleyak0n8c8vr0l3hyavnh6x4s3d4zft,1,0
erd1p7qac7k458qq5mka2yph3y24fn8e0yl0khw528yesq7ws2fy6hlqldvstg,1,0
erd12n736rftc5pluqyfuvnl460let2rz7znq0yskvdem8vvprrwu8dsfzpzv3,1,0
erd1qh4lut8fvdyay6h26yks657p6y3cejhdk77jjna6sffmzthwtzfsdvwprm,1,0
erd1cck5mf6rfkyczsp3zzse94vfp25t00tzyx29p7lsjn7fv6j43fkskmndqm,1,0
erd1frufdkl50m62jwr6ke62hnlvz4nglsx9v8k6tvd8vullxd7ayr8ssrcnta,1,0
erd108kkxgw3cu0ekst5xqv38f6lqhat0cnzzz8jqatz0g2tk92luawsm0vkh8,1,0
erd1g4jjuwlnx5wzcqjngkm8hp0a8nlg9qcpt6fw37gcuae4ha97kxpsl72ml3,1,0
erd1gtgrcf4u8w0uyn5wdqrysx39c3v2x378geeu9ujur5lr4jta0uxqz4astx,1,0
